league,season,match_id,date,home_team,away_team,home_goals,away_goals,home_xG,away_xG,win_prob,draw_prob,away_win_prob
EPL,2023,22008,2023-11-12 14:00:00,Brighton,Sheffield United,1,1,1.08601,0.84434,0.4067,0.3328,0.2605
EPL,2023,22011,2023-11-12 14:00:00,Liverpool,Brentford,3,0,1.56004,1.44954,0.3975,0.264,0.3385
EPL,2023,22013,2023-11-12 14:00:00,West Ham,Nottingham Forest,3,2,2.06402,1.42128,0.5298,0.2455,0.2247
EPL,2023,22009,2023-11-12 16:30:00,Chelsea,Manchester City,4,4,3.47238,3.19324,0.455,0.2211,0.3239
EPL,2023,22020,2023-11-25 12:30:00,Manchester City,Liverpool,1,1,1.79622,0.766278,0.6472,0.2244,0.1284
EPL,2023,22016,2023-11-25 15:00:00,Burnley,West Ham,1,2,1.44228,1.36963,0.3708,0.308,0.3212
EPL,2023,22019,2023-11-25 15:00:00,Luton,Crystal Palace,2,1,0.996153,1.83546,0.1537,0.2577,0.5886
EPL,2023,22021,2023-11-25 15:00:00,Newcastle United,Chelsea,4,1,2.15227,0.968061,0.6848,0.1926,0.1226
EPL,2023,22022,2023-11-25 15:00:00,Nottingham Forest,Brighton,2,3,2.22655,1.21792,0.6382,0.2258,0.136
EPL,2023,22023,2023-11-25 15:00:00,Sheffield United,Bournemouth,1,3,0.816227,3.13975,0.0405,0.095,0.8645
EPL,2023,22015,2023-11-25 17:30:00,Brentford,Arsenal,0,1,1.66315,1.82699,0.3338,0.274,0.3922
EPL,2023,22024,2023-11-26 14:00:00,Tottenham,Aston Villa,1,2,2.22542,2.39755,0.3333,0.2488,0.4179
EPL,2023,22017,2023-11-26 16:30:00,Everton,Manchester United,0,3,2.49764,2.07334,0.4626,0.2624,0.275
EPL,2023,22018,2023-11-27 20:00:00,Fulham,Wolverhampton Wanderers,3,2,2.49057,1.57875,0.6313,0.2309,0.1378
EPL,2023,22026,2023-12-02 15:00:00,Arsenal,Wolverhampton Wanderers,2,1,3.30368,1.07886,0.8622,0.0986,0.0392
EPL,2023,22027,2023-12-02 15:00:00,Brentford,Luton,3,1,3.25952,0.227176,0.9661,0.0298,0.0041
EPL,2023,22028,2023-12-02 15:00:00,Burnley,Sheffield United,5,0,2.60469,0.618131,0.8499,0.1154,0.0347
EPL,2023,22033,2023-12-02 17:30:00,Nottingham Forest,Everton,0,1,0.673085,0.623789,0.3119,0.4027,0.2854
EPL,2023,22032,2023-12-02 20:00:00,Newcastle United,Manchester United,1,0,2.90191,0.422674,0.9224,0.0633,0.0143
EPL,2023,22025,2023-12-03 14:00:00,Bournemouth,Aston Villa,2,2,2.54937,0.89511,0.7928,0.144,0.0632
EPL,2023,22029,2023-12-03 14:00:00,Chelsea,Brighton,3,2,1.66304,0.855058,0.6179,0.2445,0.1376
EPL,2023,22030,2023-12-03 14:00:00,Liverpool,Fulham,4,3,2.72831,1.51005,0.6648,0.1927,0.1425
EPL,2023,22034,2023-12-03 14:00:00,West Ham,Crystal Palace,1,1,1.1466,0.987682,0.3755,0.3287,0.2958
EPL,2023,22031,2023-12-03 16:30:00,Manchester City,Tottenham,3,3,2.90729,0.433077,0.9091,0.0719,0.019
EPL,2023,22042,2023-12-05 19:30:00,Wolverhampton Wanderers,Burnley,1,0,1.11886,0.781542,0.4371,0.34,0.2229
EPL,2023,22039,2023-12-05 20:15:00,Luton,Arsenal,3,4,0.526254,2.58815,0.0299,0.1032,0.8669
EPL,2023,22036,2023-12-06 19:30:00,Brighton,Brentford,2,1,1.54099,1.22007,0.4263,0.3121,0.2616
